class_old,class_new
.directionLeft__7c310,.directionLeft__0e2eb
.flowerStarContainer_d8d14b,.flowerStarContainer__00f61
.flowerStar_a9981e,.flowerStar_fa5ad8
.childContainer__4e664,.childContainer__3a40c
.icon__5b3a5,.icon__87f1f
.gameVerifiedIcon_bcd5fc,.gameVerifiedIcon__31a94
.redesignIconChildContainer__1bee6,.redesignIconChildContainer__6b3e7
.scrollerWrap_e0b973,.scrollerWrap_f4f01d
.scrollerBase_dc3aa9,.scrollerBase_f742b2
.track_a48141,.track_b31f5a
.barFill__30e17,.barFill__1f56b
.grabber_d2868c,.grabber_e3daf3
.loadingPopout__5f0e8,.loadingPopout__5e2fa
.spinner_f931ee,.spinner__84b20
.wanderingCubes_ce37c6,.wanderingCubes__921f8
.spinningCircle__351b3,.spinningCircle__49621
.spinningCircleInner__958da,.spinningCircleInner__56a7d
.path__5eb4b,.path__67bca
.pulsingEllipsis_f679bb,.pulsingEllipsis_b681c2
.pulsingEllipsis_f679bb,.pulsingEllipsis_b681c2
.container__871ba,.container__2ed72
.checked__6bdb0,.checked__36fdc
.input_be50d1,.input__3e05b
.selected__5711d,.selected_a523ff
.disabled__85bca,.disabled__2717e
.premiumLabel_f2cd55,.premiumLabel__68f78
.icon__11372,.icon_c69952
.tooltip__01384,.tooltip__7b090
.tooltipPointer_a79354,.tooltipPointer_f7411c
.tooltipTop__5f583,.tooltipTop_e50d2d
.tooltipBottom_ba4564,.tooltipBottom__39dfe
.tooltipLeft_b6b150,.tooltipLeft__4c05a
.tooltipRight_e5fa1c,.tooltipRight__2c7a5
.tooltipContent__79a2d,.tooltipContent_adb6d5
.tooltipPrimary_e5c00d,.tooltipPrimary__51b23
.tooltipBrand__13fbc,.tooltipBrand__68214
.icon__5b3a5,.icon__87f1f
.tooltipRed_d5b8c2,.tooltipRed__9a42d
.tooltipGreen__0ed4a,.tooltipGreen__36421
.tooltip_a70a03,.tooltip_e6800d
.tooltipPointer_ee2b03,.tooltipPointer__37c22
.wrapper_a7e7a8,.wrapper__216eb
.scroller__3d071,.scroller_de945b
.listItem_fa7b36,.listItem__48528
.guildSeparator_dcb3cc,.guildSeparator__75928
.blobContainer__5ee50,.blobContainer_c44493
.wrapper__3670f,.wrapper_b4903b
.wrapper_d281dd,.wrapper__8436d
.selected_f5ec8e,.selected_ae80f7
.icon__0cbed,.icon__11cf1
.wrapper__3af0b,.wrapper__9916c
.svg_ad7356,.svg__34dd4
.childWrapper__01b9c,.childWrapper_a6ce15
.acronym_cd4809,.acronym_fb7739
.iconBadge_fdf33a,.iconBadge__19638
.icon__92653,.icon__62c73
.isCurrentUserConnected_d9734f,.isCurrentUserConnected__3bd70
.placeholderMask__94802,.placeholderMask_ca6625
.dragInner_a23293,.dragInner_d5b34c
.wrapper_ed1dea,.wrapper__832f2
.expandedFolderBackground__1bec6,.expandedFolderBackground_b1385f
.collapsed__0a270,.collapsed__98ad5
.folderIconWrapper__72239,.folderIconWrapper__11165
.closedFolderIconWrapper__7321f,.closedFolderIconWrapper__722d5
.expandedFolderIconWrapper__458cf,.expandedFolderIconWrapper__324c1
.icon_c48348,.icon__94164
.iconSizeSmol__7ee47,.iconSizeSmol__44614
.guildIcon__2e5ab,.guildIcon_b6bfa7
.circleIconButton_d8df29,.circleIconButton__05cf2
.selected__5250e,.selected_aded59
.guildsError__0aa84,.guildsError__32e67
.breadcrumbs__5ffc6,.breadcrumbs_bac619
.breadcrumbWrapper__34bfa,.breadcrumbWrapper__75797
.breadcrumbClickWrapper__48502,.breadcrumbClickWrapper__6bef1
.breadcrumbFinalWrapper__71907,.breadcrumbFinalWrapper__7e7bd
.breadcrumb__3c15c,.breadcrumb__62bda
.breadcrumbArrow__05b4d,.breadcrumbArrow__58361
.container__11d72,.container__26baa
.children__32014,.children_cde9af
.toolbar__88c63,.toolbar__62fb5
.title__9e2b0,.title__84e16
.akaBadge__7df41,.akaBadge__27cd4
.nicknames__7447d,.nicknames__12efb
.iconWrapper_af9215,.iconWrapper_de6cd1
.icon__4cb88,.icon_ae0b42
.clickable_d23a1a,.clickable_ce0925
.selected_be2668,.selected__1fc53
.downloadArrow__3a66e,.downloadArrow__378a1
.iconBadge_cc5031,.iconBadge__20a6b
.divider_c09b64,.divider_bdb894
.content__96073,.content__71cd4
.focused_ddee54,.focused__037a4
.searchBar_e0c60b,.searchBar__5a20a
.searchFilter__118cb,.searchFilter_dbda51
.searchAnswer_b452e7,.searchAnswer__2ccaf
.container__7712a,.container__33507
.input__74754,.input__48d49
.iconLayout__6d744,.iconLayout__67261
.icon__37cc1,.icon_fb52f0
.clear__76e04,.clear__9f79a
.backButton__6a1f0,.backButton_d9b964
.input__321f5,.input__723c9
.applicationStore_fc7d76,.applicationStore__444b9
.scroller_a1aadd,.scroller__49aa3
.mainPageScroller__12afb,.mainPageScroller_a3deff
.cardDescription__46c9d,.cardDescription_efa634
.seeAllPerksButton_c90d04,.seeAllPerksButton_bfef1d
.giftNitro__7b37a,.giftNitro__1c0d9
.textContainer_ebae6b,.textContainer__2116e
.innerWrapper_c80bad,.innerWrapper_fd8553
.allPerksScroller__8740f,.allPerksScroller__2c9d5
.backButton__5b790,.backButton__1d36e
.leftArrow__1d2d5,.leftArrow__06d17
.rightArrow__0633c,.rightArrow_ca65a9
.inactiveArrow_e0ef05,.inactiveArrow__86563
.arrowIcon_c86bb8,.arrowIcon__9367b
.cardProgressBar__0e60a,.cardProgressBar_b12055
.selectedDot__3f4ad,.selectedDot_c4b16b
.topPill__0cdf1,.topPill__63ad4
.selected__5711d,.selected_a523ff
.container__5c7e7,.container_bd15da
.peopleColumn__51df3,.peopleColumn__0c784
.peopleListItem_d14722,.peopleListItem_dab480
.activity__24558,.activity_f466d8
.actionButton__23182,.actionButton__2b4bb
.highlight__5b64b,.highlight__57b9f
.actionAccept_d03bfc,.actionAccept_d8addb
.actionDeny_d304eb,.actionDeny__3ce98
.addFriendInputWrapper__4bf8e,.addFriendInputWrapper__2b30b
.addFriendInput__568d8,.addFriendInput__12af4
.addFriendHint__6df3d,.addFriendHint__6eee6
.container_a308ae,.container__048f4
.scroller__311cd,.scroller_a9a4b4
.table__702c0,.table_c4e11f
.header_b5ab54,.header__119bc
.headerCell__7a86a,.headerCell__1746e
.headerCellSorted__5c7c2,.headerCellSorted__39cbd
.headerCellContent_b91aca,.headerCellContent__8e785
.rowWrapper__2d725,.rowWrapper__801a0
.rowWrapperActive_f989dd,.rowWrapperActive__789cb
.rowWrapperDim_ecd946,.rowWrapperDim__5dece
.rowBackground__09cc3,.rowBackground__3fe13
.row_f3cc85,.row__8780b
.bodyCell__4af8c,.bodyCell__7ee83
.nameBodyCell_e706d4,.nameBodyCell_da1f49
.gameIcon_d9ba5a,.gameIcon_b20126
.nameCellInfo__1f8eb,.nameCellInfo__2377d
.nameCellText__43eda,.nameCellText_c1f2a7
.textCell_edd42f,.textCell_f73533
.lastPlayedCellNew_cfebb2,.lastPlayedCellNew__8530c
.actionsCell_bd9387,.actionsCell_a72bc9
.settingIcons_e4e59e,.settingIcons_b42558
.settingIcon_cd1ad1,.settingIcon_e426c9
.scroller__9c698,.scroller_ddc925
.installationPath_fa3a82,.installationPath_dade94
.background__0a6fb,.background__31e4d
.foreground__26bd6,.foreground_c28dd7
.defaultIndicator__2a4ea,.defaultIndicator__5e476
.playButton_b7b2fb,.playButton__9e617
.playButtonContents__9accf,.playButtonContents__7ad49
.buttonShine__0be03,.buttonShine_fb742e
.container_b2ce9c,.container_f79ab4
.membersListNotices_a4cb13,.membersListNotices__0bcb6
.membersWrap__90226,.membersWrap__5ca6b
.members__9f47b,.members__573eb
.membersGroup__85843,.membersGroup_cad095
.selected__9800b,.selected__7f4cb
.offline_c1fd80,.offline__55fab
.content_a6999d,.content_e8a0d1
.nameAndDecorators_e34d47,.nameAndDecorators__389dd
.name__16feb,.name__7afe8
.username__11d8c,.username_ab1e31
.ownerIcon__827bd,.ownerIcon_bd8e7d
.subText_ab7e13,.subText__4629e
.activity__3cbac,.activity_bafb94
.activityEmoji_e954be,.activityEmoji__2ca8c
.activityText__47ec1,.activityText__31c22
.icon_d942d4,.icon__1ab4f
.memberGroupsPlaceholder_d0ae46,.memberGroupsPlaceholder__50708
.placeholder_dad2ff,.placeholder__3f05f
.multiplePlaceholder__394fe,.multiplePlaceholder_ff9724
.placeholderAvatar__21e48,.placeholderAvatar__0282d
.placeholderUsername__7fd2c,.placeholderUsername__3d5c9
.mulitplePlaceholderUsername__5bd27,.mulitplePlaceholderUsername_d22bfe
.addMembersIcon_e97261,.addMembersIcon_d9b498
.coverImageWrapper_e12d83,.coverImageWrapper_d05fe1
.coverImage_b7e579,.coverImage__12e65
.coverImageActionable__4726a,.coverImageActionable__8caed
.coverImageNotActionable__36f0f,.coverImageNotActionable__8e34a
.blurred__5f676,.blurred__92556
.artwork__34afd,.artwork_ea47dd
.artworkNotActionable__3c8ef,.artworkNotActionable__3fc82
.artworkSpotifySessionEnded__8272a,.artworkSpotifySessionEnded_c0cf09
.header__8b673,.header__1c712
.partyStatus__6a567,.partyStatus__12fc2
